step,eval_reward,eval_avg_taxi,reward_std,taxi_std,epsilon,loss,frac_A,frac_B,frac_C
40000,-731.4624928169967,14.445757677975058,53.721281676350266,0.5095496023314351,0.6057704364907278,,0.45114999999999994,0.29655000000000004,0.2522999999999999
80000,-752.8757602524806,15.232020064386989,56.28347601257989,0.4073975144091096,0.3669578217261671,,0.4625499999999999,0.28095,0.25650000000000006
120000,-760.7082337754874,15.300079465972518,48.08477345081917,0.7293453813469275,0.22229219984074702,,0.42974999999999997,0.32459999999999994,0.24565
160000,-773.1398593316173,15.536960557284472,58.75824810669948,0.81754386750404,0.1346580429260134,,0.3969500000000001,0.36755000000000004,0.23550000000000013
200000,-752.2329607694819,15.299074953324908,57.35509039873638,0.7706078774975631,0.08157186144027828,,0.39624999999999994,0.37610000000000005,0.22765000000000002
240000,-770.9154504065491,15.377397609068321,71.10704587546158,0.8034960225310736,0.05,,0.42710000000000004,0.33579999999999993,0.2371
280000,-789.5210181287563,16.01651757000866,51.26494072947943,0.9056819519637306,0.05,,0.4140999999999999,0.3756000000000001,0.21030000000000004
320000,-784.5045588084233,15.712093661263406,60.5722549297859,0.8573079372838728,0.05,,0.41960000000000003,0.37020000000000003,0.21020000000000003
360000,-776.0793838609612,15.950987831111638,62.91420865769581,0.8497308732893178,0.05,,0.4048,0.3801500000000001,0.21505
400000,-792.4089855569185,16.140675248645294,61.554078855003574,0.9530713189797788,0.05,,0.4199499999999999,0.3689,0.21115000000000012
440000,-778.9518284017598,15.8662317631386,77.22733778764011,1.0877857575175642,0.05,,0.4094000000000001,0.38139999999999996,0.20920000000000005
480000,-789.596076950622,15.852484101439426,73.77111299450455,1.2013165763199567,0.05,,0.4022,0.3873499999999998,0.21044999999999997
520000,-796.3454374306768,15.959970895134042,59.40222833875199,0.8251586069951238,0.05,,0.40314999999999995,0.3970499999999999,0.1998
560000,-776.9494215854636,15.775915491714743,53.68858254820031,0.5409653059910959,0.05,,0.38099999999999995,0.42370000000000013,0.19529999999999997
600000,-772.5356451474942,15.923524975749574,77.93620285196725,0.8391462831000318,0.05,,0.3974499999999999,0.4069500000000001,0.1956
640000,-787.9181714346824,15.942420288167993,69.45464035804734,0.9645924662824865,0.05,,0.3926999999999999,0.3799499999999999,0.22734999999999997
680000,-817.1287005706796,16.466228370448604,76.33366425835779,1.494245301715063,0.05,,0.43190000000000006,0.3625,0.20559999999999998
720000,-800.587508045091,16.27860871040385,79.70339304578555,1.2362959243259952,0.05,,0.3939999999999999,0.41259999999999997,0.1934
760000,-810.3611716640477,16.2908696456163,66.80520225050591,1.0416236622852868,0.05,,0.3998,0.3991,0.20109999999999995
800000,-830.3585200817153,17.028520168126118,67.03244791132913,1.1474062034378731,0.05,,0.42735,0.3768500000000001,0.19579999999999997
