step,eval_reward,eval_avg_taxi,reward_std,taxi_std,epsilon,loss,frac_A,frac_B,frac_C
40000,-731.1579624397397,14.43626733003321,58.49268315860333,0.3845196855638085,0.6057704364907278,,0.47585000000000016,0.2835499999999999,0.24060000000000004
80000,-743.8602201083766,15.004950867849903,53.43694038245257,0.600259130975944,0.3669578217261671,,0.46765000000000007,0.29105000000000003,0.2413
120000,-789.4547473285218,16.0163324884257,59.248570184821084,0.6822997129793275,0.22229219984074702,,0.4694,0.29714999999999997,0.23345
160000,-764.6128648554576,15.323965999506488,64.42011761448147,0.6922376773824169,0.1346580429260134,,0.41084999999999994,0.35345000000000004,0.2357
200000,-773.3860177174167,15.830697135921975,60.31076337568976,0.7012326256666989,0.08157186144027828,,0.41785000000000005,0.3555500000000001,0.22659999999999994
240000,-802.3920094048813,16.16971139017279,65.1372110273783,0.8330801223838826,0.05,,0.41869999999999996,0.3470500000000001,0.23424999999999996
280000,-804.4342968553293,16.386613648796086,63.69811528388322,0.9654406210847757,0.05,,0.41619999999999996,0.37300000000000005,0.21080000000000004
320000,-801.449013787398,16.13399530183394,57.62938277553399,0.9299665279915537,0.05,,0.42135000000000006,0.34994999999999993,0.22869999999999993
360000,-794.6920610360262,16.412420150980083,73.63121900100671,0.9668899170203217,0.05,,0.4255500000000001,0.35620000000000007,0.21825000000000003
400000,-812.9952727932407,16.66771155232876,59.45241380087807,1.007598050927459,0.05,,0.417,0.3822499999999999,0.20074999999999998
440000,-819.6276312126663,16.8840088746289,62.66830570909874,1.1090886218917675,0.05,,0.4420500000000001,0.3350000000000001,0.22295000000000006
480000,-830.442484527675,16.875939808262824,62.86956373660588,1.153249204544862,0.05,,0.39299999999999996,0.41365,0.19334999999999997
520000,-825.4796241442896,16.683827596542315,69.06608215984375,1.0195834483462307,0.05,,0.40625,0.39039999999999986,0.20335
560000,-859.1743923396638,17.825508051653213,90.19451704182968,1.4491341531241382,0.05,,0.4479000000000001,0.3489000000000001,0.2032
600000,-850.5669214299068,17.883800219112853,90.19044509618244,1.5284152140834677,0.05,,0.4414,0.34199999999999997,0.21660000000000001
640000,-827.5674841585792,16.941003088738412,69.03114670652955,1.0913410461416568,0.05,,0.4021500000000001,0.4023499999999999,0.19549999999999992
680000,-844.6623784535919,17.167285552096924,71.28194206809901,1.1344068747426237,0.05,,0.3992000000000001,0.39995,0.20084999999999997
720000,-841.4109949432016,17.293540479907552,99.02054750692717,1.315402430357544,0.05,,0.42195,0.37855000000000016,0.19950000000000007
760000,-878.8252730109645,18.003132181632633,95.02387998746613,1.4677718953657108,0.05,,0.44109999999999994,0.3601499999999999,0.19875
800000,-858.8937338437942,17.7425866497835,88.20898922238315,1.6560953629126385,0.05,,0.42025,0.3833500000000001,0.19639999999999996
